nN,nO,AATS6dv,AATS0v,ATSC5d,GATS4Z,GATS5v,C1SP2,Xp-3dv,NtsC,SssssC,IC1,PEOE_VSA3,SMR_VSA4,n6ARing,GGI7,label
10,10,4.240131578947368,212.06783855980206,-11.497502120840796,0.9162486545369657,0.9678406422248262,7,8.637488346957246,0,0.0,4.034760495907813,9.589074368143644,17.56947956948497,0,1.3784722222222223,active
8,10,4.054838709677419,210.66285767929102,-11.720000000000006,0.951476516303324,0.9539240154097975,6,8.750752071251375,0,0.0,3.9984830912820293,4.794537184071822,17.56947956948497,0,1.3472222222222223,active
10,9,4.1173245614035086,215.760910985067,-11.497502120840796,0.8134051442600059,0.940571985920479,7,8.814086018823206,0,0.0,4.076979093437879,4.794537184071822,17.56947956948497,0,1.3784722222222223,active
8,9,3.9344086021505373,214.2855858678842,-11.720000000000006,0.8409435632954216,0.9280037021413156,6,8.927349743117334,0,0.0,4.0356272296619355,0.0,17.56947956948497,0,1.3472222222222223,active
4,2,2.9337539432176656,205.1257078768036,7.945312500000001,0.9990052013014032,0.9430277649146285,1,9.354847649779973,0,0.0,3.227699297981198,9.382819780310488,16.643978255959247,3,0.9600694444444444,active
4,3,2.7837837837837838,201.97823257700733,6.489795918367344,1.0235323328183623,0.9491788631862395,1,9.586593866849611,0,0.0,3.178680692210298,4.992404732635669,16.643978255959247,3,1.003472222222222,active
5,2,2.6957928802588995,203.2001252649937,9.456497356192921,1.0225454072898956,0.9336816558637215,3,9.157084826655923,0,0.0,3.2197532896631404,9.976383253582878,16.643978255959247,3,0.8454861111111112,active
5,4,4.984313725490196,226.7672579467215,-3.3818525519848777,1.008210417998352,0.955403875046346,3,7.551368495054824,0,-0.9736527094000698,3.8274034936825307,12.808212032003757,5.733667477162185,0,0.9809736394557822,inactive
5,3,4.428104575163399,232.28010519023283,-3.3818525519848777,1.2809697989081095,0.9247761488021713,3,8.791104511577592,0,-0.7884675242148846,3.7984179864361547,12.808212032003757,5.733667477162185,0,0.9809736394557822,inactive
4,4,4.607954545454546,226.54610387546225,-1.5969387755102038,1.0090871396822234,0.9348047993842773,3,7.6941054548298276,0,-0.862541598288959,3.8080899772195473,17.792190552950963,5.733667477162185,0,0.9809736394557822,active
4,5,1.7084870848708487,176.94900559888666,-7.662520281233102,0.88005605752745,0.9879166239569154,4,6.585127275478362,0,0.0,2.818674001055596,0.0,17.75371813848418,0,0.84375,active
4,3,2.7380191693290734,205.06157378520825,8.76923076923077,1.0455961530661906,0.9762038465547451,1,8.896673554532613,0,0.0,3.325363058210971,4.992404732635669,16.643978255959247,3,0.8454861111111112,active
4,3,2.627659574468085,205.63263482076803,7.041460027772269,1.0633512842797659,1.0270014720932121,1,7.472238714051335,0,0.0,3.495665162189421,4.992404732635669,16.643978255959247,2,0.8055555555555556,active
4,4,2.7791411042944785,206.2698171635074,13.496733923646396,1.0753933164152027,0.9648648953654366,2,9.751793770436013,0,0.0,3.4048918427001764,4.992404732635669,22.56188430212064,3,1.0260416666666665,active
4,4,2.7791411042944785,206.2698171635074,13.496733923646396,1.0753933164152027,0.9648648953654366,2,9.751793770436013,0,0.0,3.4048918427001764,4.992404732635669,22.56188430212064,3,1.0260416666666665,inactive
4,4,3.3568904593639575,210.5921452808513,-8.844233055885852,0.9751584101382486,1.0819851123505237,3,7.892986411063134,0,0.0,3.5396361808078014,8.78083009534964,0.0,1,0.9965277777777777,inactive
4,5,3.3958333333333335,212.62690626608799,-9.582644628099168,1.0900322327326477,1.0778847338292827,2,9.808113618477913,0,0.0,3.683033051568317,17.198627079678577,0.0,1,1.0590277777777777,active
4,5,3.3333333333333335,210.9544191431531,-8.82272672382562,1.193072203010842,1.0492681565916886,2,10.284537041286663,0,0.0,3.668419085293854,17.198627079678577,0.0,1,1.1180555555555556,active
4,5,3.29,210.9544191431531,-12.293201304190314,1.0550536040837906,1.1053008915660196,2,10.036214846951136,0,0.0,3.668419085293854,17.198627079678577,0.0,1,1.081597222222222,active
4,5,3.4329896907216493,210.9544191431531,-9.3811133921024,1.0846290181395872,1.0510328216751628,2,10.085891396255692,0,0.0,3.668419085293854,17.198627079678577,0.0,1,1.1145833333333333,inactive
4,5,3.423996913580247,218.0006246067944,-9.252324380165291,0.9360787934351715,1.075342185960135,2,10.077856267168674,0,0.0,3.792907298298696,17.198627079678577,0.0,1,1.081597222222222,active
4,5,3.455632716049383,218.0006246067944,-9.854597107438018,1.0184619655746805,1.054842025969571,2,10.130522535931588,0,0.0,3.792907298298696,17.198627079678577,0.0,1,1.1145833333333333,inactive
4,6,3.4019933554817277,211.01350998903573,-11.389886578449904,1.0623983490377795,1.0775003065874338,2,10.087879820225437,0,0.0,3.766732738729001,17.198627079678577,0.0,1,1.0815972222222223,active
4,5,3.4837962962962963,223.37434294750076,-9.515495867768593,0.9004401208423203,1.0540359264922838,2,10.676771989671794,0,0.0,3.8540426604780778,17.198627079678577,0.0,1,1.137152777777778,inactive
4,7,3.5667718191377493,209.53456340173793,-11.27083333333333,1.0686631283970787,1.0957657996024415,2,10.401682078042349,0,0.0,3.7761913850658435,17.198627079678577,0.0,1,1.1371527777777777,inactive
6,5,3.391891891891892,206.99391961507297,-7.6578915589904595,1.1354546622142307,1.0333671872482308,5,10.249119579838917,0,0.0,3.8292821507956356,22.182605600625784,7.04767198267719,1,1.125,active
6,5,3.4755244755244754,208.53138970864148,-11.9194214876033,1.0149178434849624,1.110516282933641,4,9.584040377350906,0,0.0,3.883300924310515,22.182605600625784,7.04767198267719,1,1.0659722222222223,active
4,5,3.4283995186522267,216.45580818613954,-8.840000000000007,0.9376580241980986,1.083162398181312,4,10.87517312913001,0,0.0,3.812392073725578,17.198627079678577,0.0,1,1.0242701247165535,active
5,5,3.4596491228070176,212.6423135454846,-8.432685955872637,1.0862075561932092,1.0779934618768852,4,9.714645098190578,0,0.0,3.8517382172174264,17.198627079678577,0.0,1,1.0590277777777777,active
5,6,3.519298245614035,210.26155349048489,-8.868542740124187,1.0890306585037302,1.0856403076645205,3,9.832337398509766,0,0.0,3.86419653544459,17.198627079678577,0.0,1,1.083297902494331,inactive
4,5,3.3461538461538463,204.09155251613862,-6.148148148148149,0.9745855982569571,1.061200398234198,2,8.286463225746362,0,0.0,3.645908322574948,17.198627079678577,0.0,1,0.9253472222222221,inactive
4,5,3.158450704225352,201.1814314371219,-7.613158937772489,1.1088119181130383,1.07833101956005,2,9.445822828458422,0,0.0,3.573243828256873,17.198627079678577,0.0,1,0.984375,inactive
